year,make,model,model_type,score_band,mileage_band,comparable_count,median_price_yen,mean_price_yen,min_price_yen,max_price_yen
2009,MITSUBISHI,CANTER,FE83DY,3-3.5,150k-200k,1,3196000,3196000,3196000,3196000
2009,MITSUBISHI,CANTER,FE83DY,3-3.5,200k+,5,944000,986800,660000,1595000
2009,MITSUBISHI,CANTER,FE83DY,R,200k+,1,833000,833000,833000,833000
2009,MITSUBISHI,CANTER,FE84DV,3-3.5,200k+,1,1040000,1040000,1040000,1040000
2009,MITSUBISHI,CANTER,FE84DV,R,200k+,2,526500,526500,472000,581000
2009,MITSUBISHI,CANTER,FG74D,3-3.5,200k+,1,802000,802000,802000,802000
2009,MITSUBISHI,CANTER,PDG-FE83DN,3-3.5,200k+,1,788000,788000,788000,788000
2010,MAZDA,TITAN,BKG-LJR85AN,3-3.5,150k-200k,1,291000,291000,291000,291000
2010,MAZDA,TITAN,LHR85A,3-3.5,30k-60k,2,1230000,1230000,1119000,1341000
2010,MAZDA,TITAN,LHR85A,R,60k-90k,2,633500,633500,537000,730000
